"id","Chance of Admit"
1,0.781996064914721
2,0.631365962630664
3,0.645167268276679
4,0.670329229872394
5,0.739859816657878
6,0.766409569136741
7,0.744285218585027
8,0.982200462990045
9,0.969093052785604
10,0.502565564902158
11,0.698670907703471
12,0.929579845490257
13,0.944911047210782
14,0.826444328117016
15,0.564204972945814
16,0.53404363806772
17,0.630123977332067
18,0.868995146456364
19,0.976651149654048
20,0.720773077150165
21,0.511105467988089
22,0.407252023871661
23,0.624166829133814
24,0.62964508987413
25,0.808510291095743
26,0.859585691883929
27,0.866686957151778
28,0.776947694894003
29,0.483919402222836
30,0.626683291201788
31,0.955435702527546
32,0.931624155320544
33,0.658667192706283
34,0.752144696669882
35,0.632638589203447
36,0.532813273013027
37,0.640340641459847
38,0.934377681229498
39,0.6829442821784
40,0.754732211333537
41,0.68270721833742
42,0.461996589214261
43,0.671109498546741
44,0.688400487061374
45,0.882694758232512
46,0.806716515546934
47,0.907900831542911
48,0.69761513931092
49,0.843955084391264
50,0.660154827262703
51,0.647956320483474
52,0.630252612082931
53,0.800437780471523
54,0.631804564014783
55,0.784771646681017
56,0.801889888730102
57,0.669187088247069
58,0.555445302100268
59,0.681862632287641
60,0.84326118894969
61,0.737128346606267
62,0.941929042877692
63,0.643244857977007
64,0.630281403160522
65,0.814044283794648
66,0.839871349754345
67,0.971360956016372
68,0.909995988308131
69,0.846837245051081
70,0.816190287494802
71,0.688185479077737
72,0.564426716149701
73,0.814702652938381
74,0.878683926387869
75,0.850154181454151
76,0.84265366674089
77,0.556811037126074
78,0.523419139077684
79,0.794145574955612
80,0.823482529444674
81,0.831807424546968
82,0.655514417351917
83,0.709334758632213
84,0.799072045445717
85,0.698466460580949
86,0.806044675962702
87,0.791571530732455
88,0.895494052000293
89,0.572448379838988
90,0.624759030705521
91,0.716843858762318
92,0.872520355622822
93,0.717581865918576
94,0.756856159176349
95,0.735589865114913
96,0.820895014781019
97,0.74324107043638
98,0.582702420461203
99,0.572505961994171
100,0.786022217396458
101,0.785900317865843
102,0.673025173626165
103,0.619426575549756
104,0.673732539508237
105,0.54529969056817
106,0.781803112788426
107,0.72680998860862
108,0.719517746658747
109,0.753315629372798
110,0.533139619666163
111,0.767573766619408
112,0.604547445653848
113,0.514566359779115
114,0.657250610745544
115,0.896172626804774
116,0.739380929199942
117,0.862960210442181
118,0.574543536604208
119,0.644530954990288
120,0.83998651406471
121,0.735611920972255
122,0.474995570328586
123,0.487417670508297
124,0.734374820697313
125,0.907993939995934
126,0.646916932110804
127,0.562302768306889
128,0.615684508203066
129,0.814059604431741
130,0.941285994371052
131,0.69373294221714
132,0.635607123096038
133,0.629623034016789
134,0.852056386093076
135,0.854273442388911
136,0.619912198227942
137,0.545676884156239
138,0.49890022598861
139,0.882809922542877
140,0.733009085671507
141,0.451048653150471
142,0.609973009262636
143,0.708676389488479
144,0.645058839186563
145,0.606312430125066
146,0.640427014692621
147,0.854151542858297
148,0.537083224555992
149,0.987670138313518
